class/vp/id,s,io/s,totalops,dskread,dskwrite,dskcopy,wakeups,io/wup,errors,tempops
fifo 8_0,i,0.0,0,0,0,0,1,0.0,0,0
msc 7_0,i,0.0,189,0,0,0,189,1.0,0,189
aio 6_0,i,3.6,1970354,1939876,21218,0,960625,2.1,0,0
aio 9_1,i,1.6,873169,857337,15827,0,168030,5.2,0,0
aio 10_2,i,1.3,690031,678853,11170,0,147868,4.7,0,0
aio 12_3,i,1.3,732365,722334,10031,0,124787,5.9,0,0
aio 13_4,i,1.1,621269,612129,9140,0,107018,5.8,0,0
aio 14_5,i,0.8,464775,457902,6873,0,75819,6.1,0,0
aio 15_6,i,0.3,170361,168473,1888,0,29583,5.8,0,0
pio 5_0,i,0.0,10717,0,10717,0,10718,1.0,0,10717
lio 4_0,i,0.1,55977,0,55977,0,55972,1.0,0,55977
