Name,Conn,Est'd,Started,Logical,Connect Time
AXP13,UP,UP,UP,UP,2009/06/15 05:46:30.667
AXP52,UP,UP,UP,UP,2009/06/15 07:13:09.343
SUMMARY,UP,UP,UP,UP,2009/06/15 06:45:15.441
SOR_EUR_2,UP,DOWN,UP,UP,Messaging[XFM_EMEA2.TO.SOR_EUR_2->SOR_EUR_2.TO.XFM_EMEA2] true
SOR_BETA_2,UP,UP,UP,UP,2009/06/15 06:31:52.116
SOR_GBP_3,UP,UP,UP,UP,2009/06/15 06:52:28.169
CC3,UP,UP,UP,UP,2009/06/15 06:21:55.899
CC4,UP,UP,UP,UP,2009/06/15 06:22:12.755
SOR_ETT_BETA_EURO,UP,UP,UP,UP,2009/06/15 06:32:02.477
SOR_PASS_1,UP,UP,UP,UP,2009/06/15 06:42:13.718
AXP21,UP,UP,UP,UP,2009/06/15 05:46:30.926
CC1,UP,UP,UP,UP,2009/06/15 06:06:52.952
SOR_BETA_MULTI,UP,UP,UP,UP,2009/06/15 06:46:17.895
AXP11,UP,UP,UP,UP,2009/06/15 05:46:30.956
SOR_MULTI_1,UP,UP,UP,UP,2009/06/15 06:46:55.972
FR_CASH_1,UP,UP,UP,UP,2009/06/15 05:46:30.976
AXP41,UP,UP,UP,UP,2009/06/15 05:46:30.988
AXP53,UP,UP,UP,UP,2009/06/15 05:49:20.262
DTC,UP,DOWN,UP,UP,Messaging[XFM_EMEA2.TO.DTC->DTC.TO.XFM_EMEA2] true
SOR_GBP_1,UP,UP,UP,UP,2009/06/15 06:57:17.186
ROUTER_MARKET_2,UP,UP,UP,UP,2009/06/15 05:46:31.013
SOR_EUR_1,UP,UP,UP,UP,2009/06/15 06:46:54.366
ROUTER_ORDER,UP,UP,UP,UP,2009/06/15 05:46:31.026
SOR_PASS_3,UP,UP,UP,UP,2009/06/15 06:51:15.954
ROUTER_MARKET,UP,UP,UP,UP,2009/06/15 05:46:31.042
AXP22,UP,UP,UP,UP,2009/06/15 05:46:31.051
CC2,UP,UP,UP,UP,2009/06/15 06:22:01.166
AXP23,UP,UP,UP,UP,2009/06/15 05:46:31.070
ORC_FE,UP,DOWN,UP,UP,Messaging[XFM_EMEA2.TO.ORC_FE->ORC_FE.TO.XFM_EMEA2] true
FR_MME_1,UP,UP,UP,UP,2009/06/15 07:00:21.579
LIQUIDATION_ENG,UP,DOWN,UP,UP,Messaging[XFM_EMEA2.TO.LIQUIDATION_ENG->LIQUIDATION_ENG.TO.XFM_EMEA2] true
CC6,UP,DOWN,UP,UP,Messaging[XFM_EMEA2.TO.CC6->CC6.TO.XFM_EMEA2] true
SOR_MULTI_3,UP,UP,UP,UP,2009/06/15 06:56:24.330
CC5,UP,DOWN,UP,UP,Messaging[XFM_EMEA2.TO.CC5->CC5.TO.XFM_EMEA2] true
SOR_BETA_1,UP,UP,UP,UP,2009/06/15 06:31:47.994
SOR_EUR_3,UP,UP,UP,UP,2009/06/15 06:56:11.470
