Business,Application,App_type,Metric,Threshold
GEMS,ETT,AXP,open Orders per Day,5000,
GEMS,ETT,CC,Orders per Day,150000,
GEMS,ETT,FR,Orders per Day,250000,
GEMS,ETT,MA,Orders per Day,250000,
GEMS,ETT,MLXN,Orders per Day,100000,
GEMS,ETT,OM,Orders per Day,150000,
GEMS,ETT,SORT,open Orders per Day,80000,
GEMS,ETT,TCA,Orders per Day,125000,
GEMS,ETT,XFM,open Orders per Day,25000,
GEMS,FIDESSA,FTS,Trades per day,500000,
GEMS,FIDESSA,OMAR,Orders per day,100000,
GEMS,TRISK,CASHPAS,Trades per Day,150000,
GEMS,TRISK,CASHPOS,Trades per Day,150000,
