Exchange,OrderType,count,avg,median,max,std,90percentile,percentile60,percentile70,percentile80,slowc,min,mode
EUX,D,123,39.4959349593496,36,104,13.3609254021678,43,36,36,37,0,31,36,
XETRA_London,D,26642,69.9873507994895,62,381,40.6765892821292,137,74,82,93,0,6,35,
CPH,D,7102,42.4039707124754,41,378,9.05823068631967,43,41,42,42,0,39,41,
ENX,D,81314,29.0527953365964,24,2350,35.7846155875299,46,26,29,35,13,12,14,
HEL,D,10837,42.9484174587063,41,509,14.3911828208315,44,42,42,43,1,39,41,
LIFFE,D,1049,16.3660629170639,14,105,9.48750845275385,24,15,16,17,0,5,14,
MAD,D,7209,128.521708974893,64,1472,120.968665311774,287,72,144,215,102,2,60,
NQX,D,2082,6.32372718539866,6,218,4.86698652615426,7,6,6,6,0,5,6,
OSL,D,9110,42.8154774972558,41,526,12.3128110261807,44,42,42,42,2,39,41,
STO,D,17273,43.2292016441846,41,525,17.7667351431083,44,42,42,43,3,39,41,
MIL,D,8750,7.50217142857143,7,1033,13.9522619747565,8,7,7,7,2,5,6,
LSE,D,95543,11.5911265084831,7,617,13.1462628772846,21,9,11,15,8,4,6,
JSE,D,696,412.359195402299,390,758,64.9267235128516,452,393,398,407,46,384,385,
XETRA_Colo,D,3847,16.7969846633741,15,268,10.9832809762923,21,15,16,17,0,12,14,
NYFX,D,16830,17.9053475935829,12,270,15.3775088026395,49,12,13,14,0,9,12,
TRQ,D,37027,5.38296378318524,5,120,2.7179458935884,6,5,5,6,0,3,5,
CHIX,D,57940,3.37725232999655,3,146,2.19940077168352,4,3,3,4,0,2,3,
BTE,D,7768,4.18975283213182,4,21,0.716943888592007,5,4,4,4,0,3,4,
ARCA,D,2,14.5,14,15,0.707106781186548,15,15,15,15,0,14, ,
