Name,Router,Backlog,Cost,NeighborHost,NeighborName,NeighborPort,Type
<!>networkServices,6
<!>processID,28440
<!>hostname,mdnysny74
<!>version,8.2.2
<!>managed,no
<!>inboxPort,0
<!>clientPort,7502
<!>name,rvrd
<!>controlChannel,disabled
<!>connectionsLogged,yes
<!>ipAddress,10.109.160.12
NEWYORK.JAG.ISLAND.DACS.JAG03,NEWYORK.JAG.ISLAND.DACS.JAG03,0,1,10.109.160.12,RMDS.NY.PROD.DACS.74,6124,ACTIVE
NEWYORK.JAG.ISLAND.PUB.JAG03,NEWYORK.JAG.ISLAND.PUB.JAG03,0,1,10.109.160.12,RMDS.NY.PROD.PUB.74,6126,ACTIVE
NEWYORK.JAG.ISLAND.SUB.JAG03,NEWYORK.JAG.ISLAND.SUB.JAG03,0,1,10.109.160.12,RMDS.NY.PROD.SUB.74,6125,ACTIVE
RMDS.NY.PROD.DACS.74,RMDS.NY.PROD.DAC.74,0,1,null,null,-1,ACCEPT
RMDS.NY.PROD.PUB.74,RMDS.NY.PROD.PUB.74,0,1,null,null,-1,ACCEPT
RMDS.NY.PROD.SUB.74,RMDS.NY.PROD.SUB.74,0,1,null,null,-1,ACCEPT
